date,daily_revenue
2022-01-08,733.38
2022-01-09,851.99
2022-01-10,609.04
2022-01-11,514.71
2022-01-12,468.48
2022-01-13,616.66
2022-01-14,600.04
2022-01-15,692.96
2022-01-16,738.8
2022-01-17,625.04
2022-01-18,602.3
2022-01-19,578.42
2022-01-20,632.59
2022-01-21,530.81
2022-01-22,782.07
2022-01-23,618.26
2022-01-24,628.15
2022-01-25,583.51
2022-01-26,647.76
2022-01-27,662.14
2022-01-28,547.03
2022-01-29,728.14
2022-01-30,724.48
2022-01-31,617.89
2022-02-01,497.31
2022-02-02,530.86
2022-02-03,589.03
2022-02-04,616.95
2022-02-05,745.42
2022-02-06,581.51
2022-02-07,621.63
2022-02-08,563.59
2022-02-09,596.67
2022-02-10,538.1
2022-02-11,597.52
2022-02-12,753.68
2022-02-13,674.14
2022-02-14,603.25
2022-02-15,542.35
2022-02-16,497.95
2022-02-17,566.54
2022-02-18,584.97
2022-02-19,682.04
2022-02-20,696.87
2022-02-21,603.32
2022-02-22,492.37
2022-02-23,604.18
2022-02-24,520.74
2022-02-25,642.84
2022-02-26,777.71
2022-02-27,670.51
2022-02-28,476.25
2022-03-01,533.43
2022-03-02,488.25
2022-03-03,521.49
2022-03-04,509.29
2022-03-05,689.22
2022-03-06,690.48
2022-03-07,512.22
2022-03-08,527.7
2022-03-09,521.39
2022-03-10,523.17
2022-03-11,513.32
2022-03-12,576.1
2022-03-13,647.75
2022-03-14,529.51
2022-03-15,506.48
2022-03-16,503.65
2022-03-17,487.77
2022-03-18,622.65
2022-03-19,625.35
2022-03-20,708.78
2022-03-21,532.08
2022-03-22,564.57
2022-03-23,568.27
2022-03-24,352.8
2022-03-25,502.52
2022-03-26,680.12
2022-03-27,656.09
2022-03-28,571.35
2022-03-29,484.7
2022-03-30,505.09
2022-03-31,524.66
2022-04-01,381.91
2022-04-02,558.43
2022-04-03,638.84
2022-04-04,496.67
2022-04-05,479.47
2022-04-06,506.69
2022-04-07,530.25
2022-04-08,448.4
2022-04-09,674.68
2022-04-10,700.24
2022-04-11,545.22
2022-04-12,512.91
2022-04-13,453.99
2022-04-14,493.61
2022-04-15,546.54
2022-04-16,623.17
2022-04-17,627.9
2022-04-18,567.41
2022-04-19,513.99
2022-04-20,473.86
2022-04-21,448.59
2022-04-22,545.36
2022-04-23,641.26
2022-04-24,581.18
2022-04-25,410.81
2022-04-26,530.97
2022-04-27,433.92
2022-04-28,448.87
2022-04-29,486.6
2022-04-30,663.64
2022-05-01,658.42
2022-05-02,459.15
2022-05-03,550.99
2022-05-04,561.07
2022-05-05,576.96
2022-05-06,517.42
2022-05-07,688.71
2022-05-08,608.71
2022-05-09,477.78
2022-05-10,502.42
2022-05-11,562.24
2022-05-12,484.77
2022-05-13,447.85
2022-05-14,688.54
2022-05-15,644.35
2022-05-16,539.78
2022-05-17,566.73
2022-05-18,542.13
2022-05-19,534.78
2022-05-20,597.03
2022-05-21,604.17
2022-05-22,628.4
2022-05-23,488.56
2022-05-24,470.83
2022-05-25,599.6
2022-05-26,529.91
2022-05-27,565.77
2022-05-28,699.44
2022-05-29,654.89
2022-05-30,435.45
2022-05-31,474.63
2022-06-01,518.97
2022-06-02,558.34
2022-06-03,608.91
2022-06-04,758.65
2022-06-05,627.37
2022-06-06,504.91
2022-06-07,616.79
2022-06-08,559.02
2022-06-09,489.59
2022-06-10,630.41
2022-06-11,671.06
2022-06-12,665.54
2022-06-13,464.35
2022-06-14,567.76
2022-06-15,452.34
2022-06-16,529.51
2022-06-17,553.37
2022-06-18,714.04
2022-06-19,818.11
2022-06-20,516.33
2022-06-21,718.83
2022-06-22,485.6
2022-06-23,588.34
2022-06-24,586.6
2022-06-25,727.66
2022-06-26,648.67
2022-06-27,573.03
2022-06-28,582.17
2022-06-29,594.65
2022-06-30,553.36
2022-07-01,557.45
2022-07-02,850.31
2022-07-03,704.44
2022-07-04,695.83
2022-07-05,539.3
2022-07-06,535.52
2022-07-07,688.58
2022-07-08,651.3
2022-07-09,748.33
2022-07-10,769.56
2022-07-11,525.69
2022-07-12,554.72
2022-07-13,556.86
2022-07-14,588.94
2022-07-15,554.13
2022-07-16,795.54
2022-07-17,713.27
2022-07-18,704.82
2022-07-19,561.24
2022-07-20,551.47
2022-07-21,601.87
2022-07-22,685.67
2022-07-23,710.27
2022-07-24,691.54
2022-07-25,582.1
2022-07-26,584.79
2022-07-27,687.88
2022-07-28,579.43
2022-07-29,584.1
2022-07-30,754.5
2022-07-31,763.16
2022-08-01,662.85
2022-08-02,688.87
2022-08-03,700.06
2022-08-04,716.55
2022-08-05,619.05
2022-08-06,809.02
2022-08-07,811.63
2022-08-08,689.5
2022-08-09,629.93
2022-08-10,634.25
2022-08-11,608.05
2022-08-12,695.22
2022-08-13,844.04
2022-08-14,752.19
2022-08-15,722.01
2022-08-16,559.09
2022-08-17,711.32
2022-08-18,755.28
2022-08-19,587.23
2022-08-20,897.28
2022-08-21,808.41
2022-08-22,736.25
2022-08-23,741.21
2022-08-24,657.09
2022-08-25,605.32
2022-08-26,699.77
2022-08-27,866.99
2022-08-28,739.74
2022-08-29,644.97
2022-08-30,606.32
2022-08-31,695.01
2022-09-01,715.45
2022-09-02,624.42
2022-09-03,788.69
2022-09-04,965.94
2022-09-05,567.04
2022-09-06,595.03
2022-09-07,647.98
2022-09-08,712.65
2022-09-09,785.32
2022-09-10,897.7
2022-09-11,928.69
2022-09-12,717.36
2022-09-13,702.9
2022-09-14,737.62
2022-09-15,620.28
2022-09-16,635.73
2022-09-17,789.5
2022-09-18,877.39
2022-09-19,732.94
2022-09-20,736.43
2022-09-21,709.36
2022-09-22,652.66
2022-09-23,691.18
2022-09-24,923.88
2022-09-25,919.3
2022-09-26,694.98
2022-09-27,637.34
2022-09-28,688.56
2022-09-29,762.52
2022-09-30,688.51
2022-10-01,858.98
2022-10-02,827.56
2022-10-03,693.72
2022-10-04,702.77
2022-10-05,674.65
2022-10-06,652.54
2022-10-07,618.77
2022-10-08,888.74
2022-10-09,820.29
2022-10-10,846.47
2022-10-11,800.6
2022-10-12,730.21
2022-10-13,684.71
2022-10-14,737.6
2022-10-15,867.02
2022-10-16,835.86
2022-10-17,698.27
2022-10-18,638.34
2022-10-19,721.1
2022-10-20,568.6
2022-10-21,696.25
2022-10-22,907.6
2022-10-23,835.44
2022-10-24,670.75
2022-10-25,842.41
2022-10-26,687.28
2022-10-27,778.29
2022-10-28,693.45
2022-10-29,907.92
2022-10-30,895.51
2022-10-31,726.75
2022-11-01,638.94
2022-11-02,742.44
2022-11-03,712.33
2022-11-04,685.62
2022-11-05,851.87
2022-11-06,941.98
2022-11-07,637.48
2022-11-08,766.63
2022-11-09,805.36
2022-11-10,770.99
2022-11-11,722.32
2022-11-12,816.2
2022-11-13,812.58
2022-11-14,614.65
2022-11-15,761.97
2022-11-16,762.02
2022-11-17,641.02
2022-11-18,700.06
2022-11-19,743.35
2022-11-20,845.61
2022-11-21,759.8
2022-11-22,684.5
2022-11-23,764.71
2022-11-24,786.37
2022-11-25,673.35
2022-11-26,823.75
2022-11-27,819.61
2022-11-28,723.43
2022-11-29,723.69
2022-11-30,661.03
2022-12-01,663.07
2022-12-02,565.33
2022-12-03,786.54
2022-12-04,883.95
2022-12-05,683.03
2022-12-06,629.13
2022-12-07,650.33
2022-12-08,636.7
2022-12-09,679.35
2022-12-10,804.94
2022-12-11,708.58
2022-12-12,674.0
2022-12-13,632.14
2022-12-14,702.96
2022-12-15,664.09
2022-12-16,667.95
2022-12-17,791.74
2022-12-18,812.2
2022-12-19,584.43
2022-12-20,638.95
2022-12-21,806.45
2022-12-22,718.03
2022-12-23,615.68
2022-12-24,769.77
2022-12-25,916.33
2022-12-26,697.66
2022-12-27,673.63
2022-12-28,654.57
2022-12-29,628.39
2022-12-30,617.31
2022-12-31,793.2
2023-01-01,816.77
2023-01-02,604.36
2023-01-03,607.87
2023-01-04,618.11
2023-01-05,627.47
2023-01-06,618.13
2023-01-07,798.66
2023-01-08,794.61
2023-01-09,602.86
2023-01-10,665.17
2023-01-11,700.11
2023-01-12,684.97
2023-01-13,611.68
2023-01-14,800.83
2023-01-15,715.86
2023-01-16,596.2
2023-01-17,632.59
2023-01-18,551.78
2023-01-19,600.01
2023-01-20,689.98
2023-01-21,880.84
2023-01-22,786.95
2023-01-23,633.41
2023-01-24,598.23
2023-01-25,617.51
2023-01-26,578.94
2023-01-27,655.37
2023-01-28,828.37
2023-01-29,721.02
2023-01-30,580.63
2023-01-31,576.86
2023-02-01,581.48
2023-02-02,527.81
2023-02-03,481.75
2023-02-04,756.18
2023-02-05,715.8
2023-02-06,609.08
2023-02-07,516.42
2023-02-08,458.59
2023-02-09,595.29
2023-02-10,575.87
2023-02-11,683.88
2023-02-12,666.15
2023-02-13,725.25
2023-02-14,565.12
2023-02-15,652.18
2023-02-16,575.01
2023-02-17,539.63
2023-02-18,716.34
2023-02-19,686.84
2023-02-20,578.13
2023-02-21,632.17
2023-02-22,521.04
2023-02-23,611.2
2023-02-24,640.65
2023-02-25,683.02
2023-02-26,730.8
2023-02-27,592.93
2023-02-28,640.24
2023-03-01,564.99
2023-03-02,587.11
2023-03-03,477.99
2023-03-04,623.35
2023-03-05,797.34
2023-03-06,522.0
2023-03-07,572.29
2023-03-08,546.56
2023-03-09,539.05
2023-03-10,498.86
2023-03-11,608.83
2023-03-12,828.28
2023-03-13,533.65
2023-03-14,566.56
2023-03-15,538.57
2023-03-16,644.87
2023-03-17,441.23
2023-03-18,674.72
2023-03-19,656.52
2023-03-20,621.66
2023-03-21,503.54
2023-03-22,524.58
2023-03-23,584.87
2023-03-24,540.59
2023-03-25,703.15
2023-03-26,670.53
2023-03-27,536.32
2023-03-28,508.19
2023-03-29,499.89
2023-03-30,563.81
2023-03-31,531.4
2023-04-01,720.42
2023-04-02,641.45
2023-04-03,498.24
2023-04-04,573.1
2023-04-05,500.43
2023-04-06,523.21
2023-04-07,491.02
2023-04-08,685.56
2023-04-09,694.63
2023-04-10,405.45
2023-04-11,553.16
2023-04-12,593.55
2023-04-13,561.35
2023-04-14,536.43
2023-04-15,734.16
2023-04-16,759.24
2023-04-17,542.62
2023-04-18,600.76
2023-04-19,569.9
2023-04-20,496.76
2023-04-21,583.76
2023-04-22,759.41
2023-04-23,744.68
2023-04-24,621.9
2023-04-25,477.89
2023-04-26,544.37
2023-04-27,550.3
2023-04-28,527.89
2023-04-29,590.14
2023-04-30,691.22
2023-05-01,613.1
2023-05-02,531.53
2023-05-03,614.19
2023-05-04,638.57
2023-05-05,593.5
2023-05-06,623.29
2023-05-07,739.34
2023-05-08,496.59
2023-05-09,565.55
2023-05-10,502.18
2023-05-11,585.65
2023-05-12,576.71
2023-05-13,699.1
2023-05-14,730.21
2023-05-15,511.71
2023-05-16,531.22
2023-05-17,543.39
2023-05-18,597.45
2023-05-19,519.89
2023-05-20,754.52
2023-05-21,670.36
2023-05-22,631.85
2023-05-23,578.82
2023-05-24,577.14
2023-05-25,638.86
2023-05-26,489.06
2023-05-27,741.57
2023-05-28,692.28
2023-05-29,455.9
2023-05-30,472.11
2023-05-31,465.75
2023-06-01,596.96
2023-06-02,581.82
2023-06-03,679.22
2023-06-04,777.67
2023-06-05,509.21
2023-06-06,506.8
2023-06-07,561.23
2023-06-08,520.04
2023-06-09,622.51
2023-06-10,777.52
2023-06-11,717.81
2023-06-12,547.86
2023-06-13,555.36
2023-06-14,517.09
2023-06-15,612.56
2023-06-16,635.28
2023-06-17,727.88
2023-06-18,681.32
2023-06-19,631.47
2023-06-20,586.25
2023-06-21,556.75
2023-06-22,594.05
2023-06-23,573.65
2023-06-24,722.68
2023-06-25,760.43
2023-06-26,630.77
2023-06-27,688.69
2023-06-28,551.2
2023-06-29,512.19
2023-06-30,655.15
2023-07-01,770.22
2023-07-02,776.23
2023-07-03,731.45
2023-07-04,630.02
2023-07-05,582.21
2023-07-06,593.32
2023-07-07,677.81
2023-07-08,675.13
2023-07-09,752.96
2023-07-10,657.02
2023-07-11,687.11
2023-07-12,596.91
2023-07-13,623.67
2023-07-14,771.03
2023-07-15,880.34
2023-07-16,777.89
2023-07-17,663.51
2023-07-18,684.26
2023-07-19,712.78
2023-07-20,614.4
2023-07-21,597.53
2023-07-22,900.41
2023-07-23,824.36
2023-07-24,704.42
2023-07-25,682.55
2023-07-26,624.53
2023-07-27,713.79
2023-07-28,674.21
2023-07-29,723.73
2023-07-30,746.43
2023-07-31,630.99
2023-08-01,692.72
2023-08-02,712.47
2023-08-03,729.57
2023-08-04,708.96
2023-08-05,767.94
2023-08-06,801.02
2023-08-07,691.87
2023-08-08,733.99
2023-08-09,701.08
2023-08-10,698.72
2023-08-11,676.51
2023-08-12,825.64
2023-08-13,935.99
2023-08-14,700.05
2023-08-15,662.99
2023-08-16,685.17
2023-08-17,674.8
2023-08-18,728.83
2023-08-19,872.18
2023-08-20,827.9
2023-08-21,718.53
2023-08-22,694.64
2023-08-23,679.46
2023-08-24,682.77
2023-08-25,604.45
2023-08-26,805.12
2023-08-27,848.08
2023-08-28,656.06
2023-08-29,773.8
2023-08-30,713.62
2023-08-31,723.87
2023-09-01,757.45
2023-09-02,876.54
2023-09-03,961.99
2023-09-04,711.15
2023-09-05,743.47
2023-09-06,847.54
2023-09-07,747.64
2023-09-08,720.84
2023-09-09,827.83
2023-09-10,893.19
2023-09-11,695.63
2023-09-12,779.38
2023-09-13,708.09
2023-09-14,711.64
2023-09-15,757.23
2023-09-16,904.31
2023-09-17,904.92
2023-09-18,684.01
2023-09-19,760.27
2023-09-20,828.58
2023-09-21,679.29
2023-09-22,707.32
2023-09-23,852.27
2023-09-24,868.93
2023-09-25,712.96
2023-09-26,784.67
2023-09-27,730.43
2023-09-28,799.14
2023-09-29,696.59
2023-09-30,909.2
2023-10-01,913.32
2023-10-02,765.31
2023-10-03,744.3
2023-10-04,741.47
2023-10-05,765.56
2023-10-06,743.21
2023-10-07,953.92
2023-10-08,815.28
2023-10-09,714.08
2023-10-10,753.52
2023-10-11,764.96
2023-10-12,718.29
2023-10-13,721.7
2023-10-14,875.32
2023-10-15,937.5
2023-10-16,753.09
2023-10-17,784.08
2023-10-18,691.81
2023-10-19,690.57
2023-10-20,699.56
2023-10-21,851.62
2023-10-22,884.52
2023-10-23,754.39
2023-10-24,805.15
2023-10-25,744.18
2023-10-26,731.04
2023-10-27,780.87
2023-10-28,877.51
2023-10-29,784.23
2023-10-30,818.28
2023-10-31,771.21
2023-11-01,692.31
2023-11-02,684.25
2023-11-03,763.49
2023-11-04,891.07
2023-11-05,934.32
2023-11-06,705.21
2023-11-07,733.9
2023-11-08,745.19
2023-11-09,757.69
2023-11-10,720.9
2023-11-11,852.31
2023-11-12,904.74
2023-11-13,773.28
2023-11-14,731.83
2023-11-15,772.47
2023-11-16,778.41
2023-11-17,696.25
2023-11-18,910.52
2023-11-19,966.02
2023-11-20,720.57
2023-11-21,802.84
2023-11-22,788.48
2023-11-23,729.67
2023-11-24,640.72
2023-11-25,873.26
2023-11-26,845.35
2023-11-27,813.58
2023-11-28,751.38
2023-11-29,724.92
2023-11-30,736.87
2023-12-01,725.39
2023-12-02,936.12
2023-12-03,880.4
2023-12-04,688.69
2023-12-05,699.9
2023-12-06,712.99
2023-12-07,727.98
2023-12-08,696.78
2023-12-09,835.6
2023-12-10,866.05
2023-12-11,705.44
2023-12-12,713.46
2023-12-13,762.82
2023-12-14,665.17
2023-12-15,852.13
2023-12-16,880.35
2023-12-17,718.01
2023-12-18,720.82
2023-12-19,718.11
2023-12-20,748.43
2023-12-21,777.38
2023-12-22,656.46
2023-12-23,835.19
2023-12-24,867.31
2023-12-25,687.67
2023-12-26,764.68
2023-12-27,717.31
2023-12-28,807.76
2023-12-29,725.16
2023-12-30,812.17
2023-12-31,857.97
